location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
Westlands,Apartment,1,1,1173.28,Parking (1),13800000,2026-02-20
Westlands,Apartment,1,1,807.3,Parking (1),7500000,2026-02-20
Westlands,Apartment,1,1,807.3,Parking (1),7500000,2026-02-20
Westlands,Apartment,1,1,807.3,Parking (1),7500000,2026-02-20
Westlands,Apartment,1,1,807.3,Parking (1),7500000,2026-02-20
Westlands,Apartment,2,2,1173.28,Parking (1),13800000,2026-02-20
Westlands,Apartment,2,2,1173.28,Parking (1),13800000,2026-02-20
Westlands,Apartment,1,1,807.3,Parking (1),7500000,2026-02-20
Westlands,Apartment,1,1,807.3,Parking (1),7500000,2026-02-20
Westlands,Apartment,1,1,775.01,Parking (1),7500000,2026-02-20
Kileleshwa,Apartment,2,3,1184.04,Parking (1),9000000,2026-02-20
Kileleshwa,Apartment,3,3,1463.9,Parking (2),12500000,2026-02-20
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-20
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-20
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-20
Westlands,Apartment,3,3,1668.42,Parking (3),21714000,2026-02-20
Westlands,Apartment,3,3,1668.42,Parking (3),21714000,2026-02-20
Westlands,Apartment,3,3,1668.42,Parking (3),21714000,2026-02-20
Kileleshwa,Apartment,2,3,1184.04,Parking (1),9000000,2026-02-20
Kileleshwa,Apartment,3,3,1463.9,Parking (2),12500000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),8940000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-20
Westlands,Apartment,2,2,1237.86,Parking (1),14575000,2026-02-20
Westlands,Apartment,2,2,1237.86,Parking (1),12000000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Kilimani,Apartment,2,2,1291.68,Parking (1),14800000,2026-02-20
Kilimani,Apartment,2,2,1130.22,Parking (1),9700000,2026-02-20
Kilimani,Apartment,2,2,1184.04,Parking (1),11800000,2026-02-20
Kilimani,Apartment,2,2,1216.33,Parking (1),12800000,2026-02-20
Kileleshwa,Apartment,2,2,1087.16,Parking (2),9210000,2026-02-20
Kileleshwa,Apartment,2,2,1087.16,Parking (1),9210000,2026-02-20
Kilimani,Apartment,2,2,1184.04,Parking (1),11800000,2026-02-20
Kileleshwa,Apartment,2,2,1087.16,Parking (1),9210000,2026-02-20
Kileleshwa,Apartment,2,2,807.3,Parking (1),7150000,2026-02-20
Kileleshwa,Apartment,2,2,807.3,Parking (2),7150000,2026-02-20
Kileleshwa,Apartment,2,2,807.3,Parking (1),7150000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-20
Kilimani,Apartment,4,5,2475.72,Parking (2),26500000,2026-02-20
Kilimani,Apartment,5,6,2798.64,Parking (3),28200000,2026-02-20
Kilimani,Apartment,3,3,1399.32,Parking (1),15800000,2026-02-20
Westlands,Apartment,4,5,2271.2,Parking (3),27500000,2026-02-20
Westlands,Apartment,4,5,2271.2,Parking (3),27500000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),8940000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-20
Riverside,Apartment,2,2,1227.1,Parking (1),13600000,2026-02-20
Westlands,Apartment,2,2,1237.86,Parking (1),12000000,2026-02-20
Westlands,Apartment,2,3,1184.04,Parking (1),13000000,2026-02-20
Riverside,Apartment,3,3,1872.94,Parking (2),21000000,2026-02-20
Riverside,Apartment,2,3,1388.56,Parking (1),15600000,2026-02-20
Riverside,Apartment,3,3,1872.94,Parking (2),21000000,2026-02-20
Kileleshwa,Apartment,1,1,710.42,Parking (1),7000000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),6900000,2026-02-20
Westlands,Apartment,2,3,1184.04,Parking (1),13000000,2026-02-20
Westlands,Apartment,2,2,968.76,Parking (1),14000000,2026-02-20
Westlands,Apartment,2,2,968.76,Parking (1),14000000,2026-02-20
Westlands,Apartment,1,1,688.9,Parking (1),8800000,2026-02-20
Westlands,Apartment,2,2,1162.51,Parking (2),10757000,2026-02-20
Westlands,Apartment,2,2,1162.51,Parking (2),10757000,2026-02-20
Westlands,Apartment,2,2,1162.51,Parking (2),10757000,2026-02-20
Westlands,Apartment,3,3,1668.42,Parking (2),21714000,2026-02-20
Westlands,Apartment,3,3,1668.42,Parking (2),21714000,2026-02-20
Westlands,Apartment,3,3,1668.42,Parking (2),21714000,2026-02-20
Kilimani,Apartment,2,2,1259.39,Parking (1),14700000,2026-02-20
Kileleshwa,Apartment,4,5,2454.19,Parking (2),26000000,2026-02-20
Westlands,Apartment,4,5,2271.2,Parking (3),27500000,2026-02-20
Westlands,Apartment,5,6,2863.22,Parking (4),35000000,2026-02-20
Kileleshwa,Apartment,4,5,2454.19,Parking (2),26000000,2026-02-20
Westlands,Apartment,1,1,409.03,Parking (1),7749000,2026-02-20
Kileleshwa,Apartment,3,4,2206.62,Parking (2),24000000,2026-02-20
Westlands,Apartment,2,2,882.65,Parking (1),12000000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Kilimani,Apartment,2,2,1259.39,Parking (1),14700000,2026-02-20
Kilimani,Apartment,1,1,484.38,None,5500000,2026-02-20
Kilimani,Apartment,2,2,1259.39,Parking (1),14700000,2026-02-20
Riverside,Apartment,2,2,904.18,Parking (1),10000000,2026-02-20
Westlands,Apartment,3,4,1528.49,Parking (2),17500000,2026-02-20
Kileleshwa,Apartment,3,4,2206.62,Parking (2),24000000,2026-02-20
Kileleshwa,Apartment,3,4,2206.62,Parking (2),24000000,2026-02-20
Westlands,Apartment,3,4,1668.42,Parking (2),24600000,2026-02-20
Westlands,Apartment,4,5,2292.73,Parking (2),31000000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-20
Kileleshwa,Apartment,1,1,710.42,Parking (1),7000000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),6900000,2026-02-20
Westlands,Apartment,2,3,1496.2,Parking (1),16600000,2026-02-20
Westlands,Apartment,2,3,1496.2,Parking (1),16600000,2026-02-20
Westlands,Apartment,2,3,1463.9,Parking (1),16200000,2026-02-20
Westlands,Apartment,2,3,1463.9,Parking (1),16200000,2026-02-20
Riverside,Apartment,1,1,645.84,Parking (1),7200000,2026-02-20
Kilimani,Apartment,1,1,484.38,None,5500000,2026-02-20
Westlands,Apartment,1,1,861.12,Parking (1),8200000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-20
Westlands,Apartment,1,1,624.31,Parking (1),8700000,2026-02-20
Westlands,Apartment,1,1,613.55,Parking (1),11236000,2026-02-20
Kileleshwa,Apartment,2,2,1184.04,Parking (1),11500000,2026-02-20
Westlands,Apartment,1,1,613.55,Parking (1),6200000,2026-02-20
Westlands,Apartment,2,3,1463.9,Parking (1),16200000,2026-02-20
Kilimani,Apartment,2,2,1313.21,Parking (1),15600000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Kilimani,Apartment,5,7,4789.98,Parking (3),62500000,2026-02-20
Kileleshwa,Apartment,2,2,1184.04,Parking (1),11500000,2026-02-20
Kilimani,Apartment,5,6,3250.73,Parking (3),33500000,2026-02-20
Kilimani,Apartment,5,6,3864.28,Parking (3),52500000,2026-02-20
Kilimani,Apartment,4,5,2970.86,Parking (2),42500000,2026-02-20
Kilimani,Apartment,3,4,2174.33,Parking (2),22500000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Kileleshwa,Apartment,4,5,2960.1,Parking (2),31000000,2026-02-20
Kilimani,Apartment,2,2,1313.21,Parking (1),15600000,2026-02-20
Westlands,Apartment,2,3,1184.04,Parking (1),13000000,2026-02-20
Kileleshwa,Apartment,4,5,2960.1,Parking (2),31000000,2026-02-20
Westlands,Apartment,1,1,936.47,Parking (1),10500000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Westlands,Apartment,2,2,1173.28,Parking (1),13800000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
